source_updated_at,fetched_at,forecast_issue_datetime_utc,forecast_issue_date,forecast_issue_hour_utc,forecast_date,horizon_days,horizon_label,location,district,global_id_local,forecast_tmin_c,observed_tmin_c,error_tmin_c,abs_error_tmin_c,forecast_tmax_c,observed_tmax_c,error_tmax_c,abs_error_tmax_c,observed_source_type,observed_source,observation_status,forecast_source,calculated_at
2026-05-16T07:55:34,2026-05-16T11:18:22Z,2026-05-16T07:55:34Z,2026-05-16,07:55,2026-05-18,2,D+2,Matosinhos,Porto,1130800,10.8,9.55,1.25,1.25,16.9,17.1,-0.2,0.2,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-19T13:32:31Z
2026-05-16T07:55:34,2026-05-16T11:18:22Z,2026-05-16T07:55:34Z,2026-05-16,07:55,2026-05-19,3,D+3,Matosinhos,Porto,1130800,13.5,13.4,0.1,0.1,17.9,19.55,-1.65,1.65,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-20T12:39:30Z
2026-05-16T07:55:34,2026-05-16T11:18:22Z,2026-05-16T07:55:34Z,2026-05-16,07:55,2026-05-20,4,D+4,Matosinhos,Porto,1130800,12.5,11.05,1.45,1.45,18.5,22.65,-4.15,4.15,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-21T13:32:56Z
2026-05-16T07:55:34,2026-05-16T11:18:22Z,2026-05-16T07:55:34Z,2026-05-16,07:55,2026-05-21,5,D+5,Matosinhos,Porto,1130800,12.8,15,-2.2,2.2,21.2,24.55,-3.35,3.35,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-22T12:35:14Z
2026-05-16T07:55:34,2026-05-16T11:18:22Z,2026-05-16T07:55:34Z,2026-05-16,07:55,2026-05-22,6,D+6,Matosinhos,Porto,1130800,14.1,17.8,-3.7,3.7,22.2,24.65,-2.45,2.45,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-23T11:36:26Z
2026-05-16T07:55:34,2026-05-16T11:18:22Z,2026-05-16T07:55:34Z,2026-05-16,07:55,2026-05-23,7,D+7,Matosinhos,Porto,1130800,14.9,17.05,-2.15,2.15,21.9,25.45,-3.55,3.55,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-24T11:43:12Z
2026-05-16T07:55:34,2026-05-16T11:18:22Z,2026-05-16T07:55:34Z,2026-05-16,07:55,2026-05-24,8,D+8,Matosinhos,Porto,1130800,15.5,15.95,-0.45,0.45,24.2,21.8,2.4,2.4,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-25T13:43:41Z
2026-05-16T07:55:34,2026-05-16T11:18:22Z,2026-05-16T07:55:34Z,2026-05-16,07:55,2026-05-25,9,D+9,Matosinhos,Porto,1130800,16.6,16.15,0.45,0.45,24.4,22.35,2.05,2.05,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-26T12:50:15Z
2026-05-16T19:53:45,2026-05-16T21:05:40Z,2026-05-16T19:53:45Z,2026-05-16,19:53,2026-05-17,1,D+1,Matosinhos,Porto,1130800,11.3,10.1,1.2,1.2,16.8,16.8,0,0,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-18T10:09:05Z
2026-05-16T19:53:45,2026-05-16T21:05:40Z,2026-05-16T19:53:45Z,2026-05-16,19:53,2026-05-18,2,D+2,Matosinhos,Porto,1130800,10.5,9.55,0.95,0.95,16.9,17.1,-0.2,0.2,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-19T13:32:31Z
